종목코드,2023_SGR,2022_SGR,2021_SGR
012750,6.199239149043301,6.593012916743168,4.022354090314506
007070,4.584022016704936,13.964079505938475,8.935953194966185
030000,-2.8444486967516003,25.91038256417173,16.805928085052678
073240,6.497982877749298,37.656062024887675,20.525526263781234
112610,-55.99898338022483,-10.208224809704337,-6.52441505209479
282330,7.3099241717511365,12.06260573222131,9.635187765238351
014680,-11.252256787230397,11.819465925055717,24.651992549837697
026960,-12.696453779709438,4.055698223636783,12.618325429980137
010060,3360.2344901698743,37.41865110934513,27.85752766288363
192820,23.836321016902986,0.09783160231844334,11.463928540691759
000880,85.21881221930836,-1.4138743343084625,-1.6298342196199522
023530,,4.831163342407163,-3.4437055677800643
000990,-36.31171413468679,37.91984060458346,29.78484734233526
139480,-2.2273808561733444,2.876430546187736,5.910160820858801
